Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeTestSuite-Collection,Chrome 100.0.4896.75,SmokeTestSuite-Collection,,2022-04-11 11:12:07,2022-04-11 12:02:02,49m - 54.429s,FAILED
,,,,,,,
Test Cases/Venkat/Forms Verification/Contact Us - Form Verification,Chrome 100.0.4896.75,Contact Us Form Field Verification,,2022-04-11 11:12:09,2022-04-11 11:13:32,1m - 23.052s,PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-11 11:12:12,2022-04-11 11:12:23,11.716s,PASSED
navigateToUrl(ContactUs),Chrome 100.0.4896.75,,,2022-04-11 11:12:23,2022-04-11 11:12:29,5.270s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-11 11:12:29,2022-04-11 11:12:29,0.409s,PASSED
delay(5),Chrome 100.0.4896.75,,,2022-04-11 11:12:29,2022-04-11 11:12:34,5.165s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Form Verification/Page_/h2_Contact Us""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:12:34,2022-04-11 11:12:53,18.676s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/span_Contact Us""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:12:53,2022-04-11 11:12:54,0.922s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/h2_Contact Us""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:12:54,2022-04-11 11:12:55,0.700s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/h3_Thank you for your interest in the Enfam_7b10da""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:12:55,2022-04-11 11:12:55,0.834s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Page_/h3_Thank you for your interest in the Enfam_7b10da""), ""Thank you for your interest in the Enfamil Family of Formulas™."")",Chrome 100.0.4896.75,,,2022-04-11 11:12:55,2022-04-11 11:12:56,0.879s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/span_If you have a question about our produ_57c769""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:12:56,2022-04-11 11:12:57,0.880s,PASSED
"verifyElementText(findTestObject(""Object Repository/Form Verification/Page_/span_If you have a question about our produ_57c769""), ""If you have a question about our products, company or services, please check out our Help Center or Store locator."")",Chrome 100.0.4896.75,,,2022-04-11 11:12:57,2022-04-11 11:12:58,0.790s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Form Verification/Page_/p_If you still havent found what you are lo_8b6a86""), 0)",Chrome 100.0.4896.75,,,2022-04-11 11:12:58,2022-04-11 11:12:59,0.764s,PASSED
