Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeTestSuite-Collection - UAT,Chrome 100.0.4896.127,SmokeTestSuite-Collection,,2022-04-18 23:21:04,2022-04-19 00:07:21,46m - 16.835s,FAILED
,,,,,,,
Test Cases/Venkat/PDP Page/PDP - Infant Formula - Page Verification,Chrome 100.0.4896.127,PDP Enfamil NeuroPro Infant Formula Page Verification,,2022-04-18 23:21:05,2022-04-18 23:24:34,3m - 28.799s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-04-18 23:21:06,2022-04-18 23:21:10,4.349s,PASSED
"navigateToUrl(""https://enfamil-us.cdn.test.us-east-1.starterkit.rbcloud.io/products/enfamil-neuropro-infant-formula/"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:10,2022-04-18 23:21:13,3.180s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-04-18 23:21:13,2022-04-18 23:21:14,0.189s,PASSED
delay(10),Chrome 100.0.4896.127,,,2022-04-18 23:21:14,2022-04-18 23:21:24,10.049s,PASSED
"click(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_GOT IT_onetrust-close-btn-handler on_95ce22""))",Chrome 100.0.4896.127,,,2022-04-18 23:21:24,2022-04-18 23:21:25,1.222s,PASSED
"scrollToElement(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_Change Location""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:25,2022-04-18 23:21:26,0.874s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-18 23:21:26,2022-04-18 23:21:28,2.012s,PASSED
"scrollToElement(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Enfamil reduces its environmental impac_15cd14""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:28,2022-04-18 23:21:28,0.497s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-18 23:21:28,2022-04-18 23:21:30,2.018s,PASSED
"scrollToElement(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_Ratings  Reviews""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:30,2022-04-18 23:21:31,0.515s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-18 23:21:31,2022-04-18 23:21:33,2.023s,PASSED
"scrollToElement(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/a_Shop Now_1""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:33,2022-04-18 23:21:33,0.450s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-18 23:21:33,2022-04-18 23:21:35,2.007s,PASSED
"scrollToElement(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_1. Select format""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:35,2022-04-18 23:21:36,0.456s,PASSED
delay(2),Chrome 100.0.4896.127,,,2022-04-18 23:21:36,2022-04-18 23:21:38,2.018s,PASSED
"scrollToElement(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Enfamil NeuroPro Infant Formula""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:38,2022-04-18 23:21:38,0.484s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Enfamil NeuroPro Infant Formula""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:38,2022-04-18 23:21:39,0.552s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Enfamil NeuroPro Infant Formula""), ""Enfamil NeuroPro Infant Formula"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:39,2022-04-18 23:21:39,0.500s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Add to cart""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:39,2022-04-18 23:21:40,0.428s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Add to cart""), ""Add to cart"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:40,2022-04-18 23:21:40,0.448s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_171.89""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:40,2022-04-18 23:21:41,0.496s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/s_190.99""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:41,2022-04-18 23:21:41,0.422s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_Home""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:41,2022-04-18 23:21:41,0.459s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_Products""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:41,2022-04-18 23:21:42,0.446s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_Enfamil NeuroPro Infant Formula""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:42,2022-04-18 23:21:42,0.458s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_Home""), ""Home"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:42,2022-04-18 23:21:43,0.437s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_Products""), ""Products"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:43,2022-04-18 23:21:43,0.425s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_Enfamil NeuroPro Infant Formula""), ""Enfamil NeuroPro Infant Formula"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:43,2022-04-18 23:21:44,0.618s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/h1_Nutrition for brain building  immune sup_862da3""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:44,2022-04-18 23:21:44,0.429s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/h1_Nutrition for brain building  immune sup_862da3""), ""Nutrition for brain building & immune support inspired by breastmilk"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:44,2022-04-18 23:21:45,0.535s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Content for the default variant""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:45,2022-04-18 23:21:45,0.420s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_1. Select format""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:45,2022-04-18 23:21:46,0.453s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/span_1. Select format""), ""1. Select format"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:46,2022-04-18 23:21:46,0.442s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Whats the difference""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:46,2022-04-18 23:21:47,0.455s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Whats the difference""), ""What's the difference?"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:47,2022-04-18 23:21:47,0.428s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Whats the difference""))",Chrome 100.0.4896.127,,,2022-04-18 23:21:47,2022-04-18 23:21:47,0.407s,PASSED
"click(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/button_Whats the difference""))",Chrome 100.0.4896.127,,,2022-04-18 23:21:47,2022-04-18 23:21:48,0.512s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Formula Types""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:48,2022-04-18 23:21:49,0.600s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Formula Types""), ""Formula Types"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:49,2022-04-18 23:21:49,0.476s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/h2_What is the difference between powder, l_e57a44""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:49,2022-04-18 23:21:49,0.415s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/h2_What is the difference between powder, l_e57a44""), ""What is the difference between powder, liquid and concentrate?"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:49,2022-04-18 23:21:50,0.525s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Powder""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:50,2022-04-18 23:21:50,0.423s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Powder""), ""Powder"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:50,2022-04-18 23:21:51,0.505s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/p_Enfamil formulas in powder need to be dil_49498b""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:51,2022-04-18 23:21:52,0.872s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/p_Enfamil formulas in powder need to be dil_49498b""), ""Enfamil formulas in powder need to be diluted with water before being fed to your baby. Formula prepared from powder can be kept covered in the refrigerator for up to 24 hours. Cover or seal opened containers of Enfamil powder formula, store at room temperature, and use within 30 days."")",Chrome 100.0.4896.127,,,2022-04-18 23:21:52,2022-04-18 23:21:52,0.443s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Liquid""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:52,2022-04-18 23:21:53,0.568s,PASSED
"verifyElementText(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Liquid""), ""Liquid"")",Chrome 100.0.4896.127,,,2022-04-18 23:21:53,2022-04-18 23:21:53,0.424s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/p_Ready-to-use liquid formula doesnt requir_9888e6""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:53,2022-04-18 23:21:54,0.532s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/PDP Element Verification - infant/Page_Enfamil NeuroPro Infant Formula  Enfamil/div_Concentrate""), 0)",Chrome 100.0.4896.127,,,2022-04-18 23:21:54,2022-04-18 23:21:54,0.426s,PASSED
