Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login page,Chrome 99.0.4844.82,,,2022-03-24 17:28:51,2022-03-24 17:37:50,8m - 58.639s,PASSED
,,,,,,,
Test Cases/Login Page/Page elements,Chrome 99.0.4844.82,,,2022-03-24 17:29:10,2022-03-24 17:29:27,16.414s,PASSED
,,,,,,,
Test Cases/Login Page/PasswordReset,Chrome 99.0.4844.82,,,2022-03-24 17:29:27,2022-03-24 17:30:27,1m - 0.654s,PASSED
,,,,,,,
Test Cases/Login Page/Sign In with Email,Chrome 99.0.4844.82,,,2022-03-24 17:30:27,2022-03-24 17:32:37,2m - 10.023s,PASSED
,,,,,,,
Test Cases/Login Page/Sign In with Facebook_Registered,Chrome 99.0.4844.82,,,2022-03-24 17:32:37,2022-03-24 17:33:40,1m - 2.137s,PASSED
,,,,,,,
Test Cases/Login Page/Sign In with Facebook_Unregistered,Chrome 99.0.4844.82,,,2022-03-24 17:33:40,2022-03-24 17:34:27,47.348s,PASSED
,,,,,,,
Test Cases/Login Page/Sign In with Google_Registered,Chrome 99.0.4844.82,,,2022-03-24 17:34:27,2022-03-24 17:35:44,1m - 16.885s,PASSED
,,,,,,,
Test Cases/Login Page/Sign In with Google_Unregistered,Chrome 99.0.4844.82,,,2022-03-24 17:35:44,2022-03-24 17:37:00,1m - 16.398s,PASSED
,,,,,,,
Test Cases/Login Page/Sign In with Apple,Chrome 99.0.4844.82,,,2022-03-24 17:37:00,2022-03-24 17:37:49,49.094s,PASSED
